Total,Attack,Defense,Sp. Atk,Sp. Def
680,110,90,154,90
780,190,100,154,100
780,150,70,194,120
600,100,100,100,100
318,49,65,49,65
405,62,80,63,80
525,82,100,83,100
309,52,43,60,50
405,64,58,80,65
534,84,78,109,85
314,65,64,44,48
405,80,80,59,63
530,105,100,79,83
215,46,34,35,45
415,76,64,45,55
262,30,30,36,56
442,50,50,76,96
265,20,30,40,80
390,35,50,55,110
250,60,40,40,40
390,90,70,60,60
535,90,80,70,80
330,38,38,56,56
460,58,58,76,76
205,40,15,35,35
218,25,28,45,55
210,30,15,40,20
245,20,65,40,65
405,40,85,80,105
320,50,45,70,45
470,75,70,95,70
280,40,40,65,45
365,55,55,80,60
510,75,85,115,90
610,95,105,165,110
490,80,95,90,100
250,20,50,20,50
420,50,80,60,80
410,100,115,30,65
500,75,75,90,100
250,35,40,35,55
340,45,50,45,65
460,55,70,55,95
360,70,55,40,55
180,30,30,30,30
425,75,55,105,85
390,65,45,75,45
210,45,45,25,25
430,85,85,65,65
525,65,60,130,95
525,65,110,60,130
405,85,42,85,42
490,75,80,100,110
435,60,60,85,85
336,72,48,72,48
405,33,58,33,58
455,80,65,90,65
290,65,90,35,35
465,90,140,60,60
415,70,70,65,65
430,75,105,35,65
510,85,200,55,65
610,125,230,55,95
300,80,50,40,40
450,120,75,60,60
430,95,75,55,55
500,130,100,55,80
600,150,140,65,100
505,10,230,10,230
500,125,75,40,95
600,185,115,40,105
430,95,55,35,75
330,80,50,50,50
500,130,75,75,75
250,40,40,70,40
410,50,120,80,80
250,50,40,30,30
450,100,80,60,60
380,55,85,65,85
300,65,35,65,35
480,105,75,105,75
330,55,45,65,45
465,40,70,80,140
465,80,140,40,70
330,60,30,80,50
500,90,50,110,80
600,90,90,140,90
540,95,95,95,95
330,60,60,40,40
500,120,120,60,60
515,80,90,105,95
465,95,62,85,65
250,20,35,20,45
210,35,35,35,35
455,95,95,35,110
305,30,15,85,65
360,63,37,65,55
365,75,37,70,55
490,80,105,40,70
540,10,10,75,135
580,85,75,115,100
580,115,85,90,75
580,75,115,90,115
300,64,50,45,50
410,84,70,65,70
600,134,110,95,100
700,164,150,95,120
680,90,130,90,154
680,130,90,110,154
600,100,100,100,100
310,45,35,65,55
405,65,45,85,65
530,85,65,105,85
630,110,75,145,85
310,60,40,70,50
405,85,60,85,60
530,120,70,110,70
630,160,80,130,80
310,70,50,50,50
405,85,70,60,70
535,110,90,85,90
635,150,110,95,110
220,55,35,30,30
420,90,70,60,60
240,30,41,30,41
420,70,61,50,61
195,45,35,20,30
205,35,55,25,25
395,70,50,100,50
205,35,55,25,25
385,50,70,50,90
220,30,30,40,50
340,50,50,60,70
480,70,70,90,100
220,40,50,30,30
340,70,40,60,40
480,100,60,90,60
270,55,30,30,30
430,85,60,50,50
270,30,30,55,30
430,50,100,85,70
198,25,25,45,35
278,35,35,65,55
518,65,65,125,115
618,85,65,165,135
269,30,32,50,52
414,60,62,80,82
295,40,60,40,60
460,130,80,60,60
280,60,60,35,35
440,80,80,55,55
670,160,100,95,65
266,45,90,30,30
456,90,45,50,50
236,90,45,30,30
240,51,23,51,23
360,71,43,71,43
490,91,63,91,73
237,60,30,20,30
474,120,60,40,60
190,20,40,20,40
375,45,135,45,90
260,45,45,35,35
380,65,65,55,55
380,75,75,65,65
480,85,125,85,115
380,85,85,55,55
480,105,125,55,95
330,70,100,40,40
430,90,140,50,50
530,110,180,60,60
630,140,230,60,80
280,40,55,40,55
410,60,75,60,75
510,100,85,80,85
295,45,40,65,40
475,75,60,105,60
575,75,80,135,80
405,50,40,85,75
405,40,50,75,85
400,73,55,47,75
400,47,55,73,75
400,60,45,100,80
302,43,53,43,53
467,73,83,73,83
305,90,20,65,20
460,120,40,95,40
560,140,70,110,65
400,70,35,70,35
500,90,45,90,45
305,60,40,65,45
460,100,70,105,75
560,120,100,145,105
470,85,140,85,70
330,25,35,70,80
470,45,65,90,110
360,60,60,60,60
290,100,45,45,45
340,70,50,50,50
520,100,80,80,80
335,85,40,85,40
475,115,60,115,60
310,40,60,40,75
490,70,90,70,105
590,110,110,110,105
458,115,60,60,60
458,100,60,100,60
440,55,65,95,85
440,95,85,55,65
288,48,43,46,41
468,78,73,76,71
308,80,65,50,35
468,120,85,90,55
300,40,55,40,70
500,70,105,70,120
355,41,77,61,87
495,81,97,81,107
355,95,50,40,50
495,125,100,70,80
200,15,20,10,55
540,60,79,100,125
420,70,70,70,70
440,90,70,60,120
295,75,35,63,33
455,115,65,83,63
555,165,75,93,83
295,40,90,30,90
455,70,130,60,130
460,68,83,72,87
425,50,70,95,80
465,130,60,75,60
565,150,60,115,60
260,23,48,23,48
300,50,50,50,50
480,80,80,80,80
580,120,80,120,80
290,40,50,55,50
410,60,70,75,70
530,80,90,95,90
345,64,85,74,55
485,104,105,94,75
485,84,105,114,75
485,90,130,45,65
330,30,55,40,65
300,75,60,40,30
420,95,100,60,50
600,135,80,110,80
700,145,130,120,90
300,55,80,35,60
420,75,100,55,80
600,135,130,95,90
700,145,150,105,110
580,100,200,50,100
580,50,100,100,200
580,75,150,75,150
600,80,90,110,130
700,100,120,140,150
600,90,80,130,110
700,130,100,160,120
670,100,90,150,140
770,150,90,180,160
670,150,140,100,90
770,180,160,150,90
680,150,90,150,90
780,180,100,180,100
600,100,100,100,100
600,150,50,150,50
600,180,20,180,20
600,70,160,70,160
600,95,90,95,90
318,68,64,45,55
405,89,85,55,65
525,109,105,75,85
309,58,44,58,44
405,78,52,78,52
534,104,71,104,71
314,51,53,61,56
405,66,68,81,76
530,86,88,111,101
245,55,30,30,30
340,75,50,40,40
485,120,70,50,60
250,45,40,35,40
410,85,60,55,60
194,25,41,25,41
384,85,51,55,51
263,65,34,40,34
363,85,49,60,49
523,120,79,95,79
280,30,35,50,70
515,70,65,125,105
350,125,40,30,30
495,165,60,65,50
350,42,118,42,88
495,52,168,47,138
224,29,45,29,45
424,59,85,79,105
424,79,105,59,85
424,69,95,69,95
424,94,50,94,50
244,30,42,30,42
474,80,102,80,102
405,45,70,45,90
330,65,35,60,30
495,105,55,85,50
275,35,45,62,53
450,60,70,87,78
325,48,48,57,62
475,83,68,92,82
482,100,66,60,66
348,50,34,60,44
498,80,44,90,54
350,66,44,44,56
480,76,84,54,96
580,136,94,54,96
495,60,60,105,105
505,125,52,105,52
310,55,42,42,37
452,82,64,64,59
285,30,50,65,50
329,63,47,41,41
479,93,67,71,61
300,24,86,24,86
500,89,116,79,116
290,80,95,10,45
310,25,45,70,90
220,5,5,15,65
411,65,45,92,42
485,92,108,92,108
300,70,45,40,45
410,90,65,50,55
600,130,95,80,85
700,170,115,120,95
390,85,40,40,85
285,70,40,35,40
525,110,70,115,70
625,145,88,140,70
330,72,78,38,42
525,112,118,68,72
330,50,90,30,55
500,90,110,60,75
300,61,40,61,40
490,106,65,86,65
454,100,72,90,72
330,49,56,49,61
460,69,76,69,86
345,20,50,60,120
334,62,50,62,60
494,92,75,92,85
594,132,105,132,105
510,120,65,45,85
535,70,115,130,90
515,85,95,80,95
535,140,130,55,55
535,100,125,110,50
540,123,67,95,85
540,95,67,125,95
545,50,95,120,115
515,76,86,116,56
525,110,130,60,65
525,60,110,130,95
510,95,125,45,75
530,130,80,70,60
535,80,70,135,75
518,125,65,65,115
618,165,95,65,115
525,55,145,75,150
525,100,135,65,135
480,80,70,80,70
440,50,77,95,77
520,65,107,105,107
520,65,107,105,107
520,65,107,105,107
520,65,107,105,107
520,65,107,105,107
580,75,130,75,130
580,105,105,105,105
580,125,70,125,70
680,120,120,150,100
680,120,100,150,120
600,90,106,130,106
670,160,110,80,110
680,100,120,100,120
680,120,100,120,100
600,70,120,75,130
480,80,80,80,80
600,100,100,100,100
600,90,90,135,90
600,100,100,100,100
600,103,75,120,75
720,120,120,120,120
600,100,100,100,100
308,45,55,45,55
413,60,75,60,75
528,75,95,75,95
308,63,45,45,45
418,93,55,70,55
528,123,65,100,65
308,55,45,63,45
413,75,60,83,60
528,100,85,108,70
255,55,39,35,39
420,85,69,60,69
275,60,45,25,45
370,80,65,35,65
500,110,90,45,90
281,50,37,50,37
446,88,50,88,50
316,53,48,53,48
498,98,63,98,63
316,53,48,53,48
498,98,63,98,63
316,53,48,53,48
498,98,63,98,63
292,25,45,67,55
487,55,85,107,95
264,55,50,36,30
358,77,62,50,42
488,115,80,65,55
295,60,32,50,32
497,100,63,80,63
280,75,85,25,25
390,105,105,50,40
515,135,130,60,80
313,45,43,55,43
425,57,55,77,55
328,85,40,30,45
508,135,60,50,65
445,60,86,60,86
545,60,126,80,126
305,80,55,25,35
405,105,85,40,50
505,140,95,55,65
294,50,40,50,40
384,65,55,65,55
509,95,75,85,75
465,100,85,30,85
465,125,75,30,75
310,53,70,40,60
380,63,90,50,80
500,103,80,70,80
260,45,59,30,39
360,55,99,40,79
485,100,89,55,69
280,27,60,37,50
480,67,85,77,75
280,35,50,70,50
480,60,75,110,75
460,92,65,80,55
292,72,35,35,35
351,82,45,45,45
519,117,80,65,70
315,90,45,15,45
480,140,55,30,55
540,30,105,140,105
461,86,67,106,67
325,65,85,35,35
475,95,125,65,75
348,75,70,35,70
488,90,115,45,115
490,58,80,103,80
303,30,85,55,65
483,50,145,95,105
355,78,103,53,45
495,108,133,83,65
401,112,45,74,45
567,140,65,112,65
329,50,62,40,62
474,95,82,60,82
330,65,40,80,40
510,105,60,120,60
300,50,40,40,40
470,95,60,65,60
290,30,50,55,65
390,45,70,75,85
490,55,95,95,110
290,30,40,105,50
370,40,50,125,60
490,65,75,125,85
305,44,50,44,50
473,87,63,87,63
305,50,50,65,60
395,65,65,80,75
535,95,85,110,95
335,60,50,40,50
475,100,70,60,70
428,75,60,75,60
315,75,45,40,45
495,135,105,60,105
294,55,45,55,55
464,85,70,85,80
335,40,50,65,85
480,60,70,85,105
470,75,80,40,45
319,47,50,57,50
472,77,60,97,60
305,50,91,24,86
489,94,131,54,116
300,55,70,45,60
440,80,95,70,85
520,100,115,70,85
275,55,40,45,40
405,85,70,75,70
515,115,80,105,80
335,55,55,85,55
485,75,75,125,95
275,30,55,65,55
370,40,60,95,60
520,55,90,145,90
320,87,60,30,40
410,117,70,40,50
540,147,90,60,70
305,70,40,60,40
485,110,80,70,80
485,50,30,95,135
305,40,85,40,65
495,70,40,100,60
471,66,84,81,99
350,85,50,55,50
510,125,60,95,60
485,120,90,60,90
303,74,50,35,50
483,124,80,55,80
340,85,70,40,40
490,125,100,60,70
490,110,95,40,95
350,83,50,37,50
510,123,75,57,75
370,55,75,45,65
510,65,105,55,95
484,97,66,105,66
484,109,112,48,48
300,65,50,45,50
420,85,70,65,70
600,105,90,125,90
360,85,55,50,55
550,60,65,135,105
580,90,129,90,72
580,129,90,72,90
580,90,72,90,129
580,115,70,125,80
580,100,80,110,90
580,115,70,125,80
580,105,70,145,80
680,120,100,150,120
680,150,120,120,100
600,125,90,115,80
600,145,90,105,80
660,130,90,130,90
700,170,100,120,90
700,120,90,170,100
580,72,90,129,90
580,72,90,129,90
600,77,77,128,128
600,128,90,77,77
600,120,95,120,95
313,61,65,48,45
405,78,95,56,58
530,107,122,74,75
307,45,40,62,60
409,59,58,90,70
534,69,72,114,100
314,56,40,62,44
405,63,52,83,56
530,95,67,103,71
237,36,38,32,36
423,56,77,50,77
278,50,43,40,38
382,73,55,56,52
499,81,71,74,69
200,35,40,27,25
213,22,60,27,30
411,52,50,90,50
369,50,58,73,54
507,68,72,109,66
303,38,39,61,79
371,45,47,75,98
552,65,68,112,154
350,65,48,62,57
531,100,62,97,81
348,82,62,46,48
495,124,78,69,71
472,80,60,65,90
355,48,54,63,60
466,48,76,83,81
466,48,76,83,81
325,80,100,35,37
448,110,150,45,49
520,150,50,150,50
520,50,150,50,150
341,52,60,63,65
462,72,72,99,89
341,48,66,59,57
480,80,86,85,75
288,54,53,37,46
482,92,88,68,75
306,52,67,39,56
500,105,115,54,86
320,60,60,60,60
494,75,90,97,123
330,53,62,58,63
500,73,88,120,89
289,38,33,61,43
481,55,52,109,94
362,89,77,45,45
521,121,119,69,59
362,59,50,67,63
521,77,72,99,92
525,65,65,110,130
500,92,75,74,63
431,58,57,81,67
500,50,150,50,150
300,50,35,55,75
452,75,53,83,113
600,100,70,110,150
470,80,91,80,87
309,70,48,50,60
474,110,76,65,82
335,66,70,44,55
335,66,70,44,55
335,66,70,44,55
335,66,70,44,55
494,90,122,58,75
494,85,122,58,75
494,95,122,58,75
494,100,122,58,75
304,69,85,32,35
514,117,184,44,46
245,30,35,45,40
535,70,80,97,80
680,131,95,131,98
680,131,95,131,98
600,100,121,81,95
600,100,150,100,150
700,160,110,160,110
600,110,60,150,130
680,160,60,170,130
600,110,120,130,90
