"","DataSet","n","GeneSymbol","GeneID","GeneName","Chr","FoldChange","Regulation","FDR","Location","Type","Depleted","SCNT","miNT","TSA","FoldChange_allR"
"50","Srirattana2017_TS6",35,"TPI1","NM_001013589.3","Triosephosphate isomerase 1","5",8.893612,"Down",0.006845,"Undetermined","enzyme",0,1,0,1,-8.893612
"51","Srirattana2017_TS6",35,"CD74","NM_001034735.1","CD74 molecule, major histocompatibility complex, class II invariant chain","7",7.281397,"Down",0.034401,"Undetermined","transmembrane receptor",0,1,0,1,-7.281397
"52","Srirattana2017_TS6",35,"NID1","NM_001101155.1","Nidogen 1","28",6.338005,"Down",0.0120854,"Undetermined","other",0,1,0,1,-6.338005
"53","Srirattana2017_TS6",35,"SCIN","NM_174177.2","Scinderin","4",6.096761,"Down",0.034401,"Undetermined","other",0,1,0,1,-6.096761
"54","Srirattana2017_TS6",35,"RNASE1","NM_001014386.4","Ribonuclease, RNase A family, 1","10",5.792929,"Down",0.0120854,"Undetermined","enzyme",0,1,0,1,-5.792929
"55","Srirattana2017_TS6",35,"TRAM2","NM_001193150.1","Translocation associated membrane protein 2","23",4.734895,"Down",0.006845,"Undetermined","other",0,1,0,1,-4.734895
"56","Srirattana2017_TS6",35,"SHISA2","NM_001101265.1","Shisa family member 2","12",4.688848,"Down",0.0257855,"Undetermined","other",0,1,0,1,-4.688848
"57","Srirattana2017_TS6",35,"KRT19","NM_001015600.3","Keratin 19","19",4.496904,"Down",0.047276,"Undetermined","other",0,1,0,1,-4.496904
"58","Srirattana2017_TS6",35,"MUC1","NM_174115.2","Mucin 1, cell surface associated","3",4.393081,"Down",0.0490729,"Undetermined","other",0,1,0,1,-4.393081
"59","Srirattana2017_TS6",35,"SLC10A1","NM_001046339.1","Solute carrier family 10 (sodium/bile acid cotransporter), member 1","10",4.20741,"Down",0.0168298,"Undetermined","transporter",0,1,0,1,-4.20741
"60","Srirattana2017_TS6",35,"P2RY2","NM_001166525.1","Purinergic receptor P2Y, G-protein coupled, 2","15",3.94375,"Down",0.0240448,"Undetermined","G-protein coupled receptor",0,1,0,1,-3.94375
"61","Srirattana2017_TS6",35,"ADAM19","NM_001075475.2","ADAM metallopeptidase domain 19","7",3.694375,"Down",0.0002242,"Undetermined","peptidase",0,1,0,1,-3.694375
"62","Srirattana2017_TS6",35,"APOA1","NM_174242.3","Apolipoprotein A-I","15",3.25112,"Down",0.0271372,"Undetermined","transporter",0,1,0,1,-3.25112
"63","Srirattana2017_TS6",35,"PTGES","NM_174443.2","Prostaglandin E synthase","11",3.077688,"Down",0.0073097,"Undetermined","enzyme",0,1,0,1,-3.077688
"64","Srirattana2017_TS6",35,"EXOC6B","NM_001076416.1","Exocyst complex component 6B","11",1.996047,"Down",0.0240448,"Undetermined","other",0,1,0,1,-1.996047
"65","Srirattana2017_TS6",35,"LDHB","NM_001316338.1","Lactate dehydrogenase B","5",1.990428,"Down",0.0240448,"Undetermined","enzyme",0,1,0,1,-1.990428
"66","Srirattana2017_SF2",NA,"AMD1","280997","adenosylmethionine decarboxylase 1",NA,7.356400369,"Down",0.00265,"Cytoplasm","enzyme",1,0,1,1,-7.356400369
"67","Srirattana2017_SF2",NA,"BSG","508716","basigin (Ok blood group)",NA,6.639156685,"Up",0.00265,"Plasma Membrane","transporter",1,0,1,1,6.639156685
"68","Srirattana2017_SF2",NA,"CEP135","509483","centrosomal protein 135",NA,6.130479841,"Down",0.00265,"Cytoplasm","other",1,0,1,1,-6.130479841
"69","Srirattana2017_SF2",NA,"PAPOLA","338051","poly(A) polymerase alpha",NA,4.011105744,"Down",0.00265,"Nucleus","enzyme",1,0,1,1,-4.011105744
"70","Srirattana2017_SF2",NA,"PNRC2","767836","proline rich nuclear receptor coactivator 2",NA,6.759891075,"Down",0.00265,"Nucleus","other",1,0,1,1,-6.759891075
"71","Srirattana2017_SF2",NA,"RPL23A","507168","ribosomal protein L23a",NA,21.30322581,"Down",0.00265,"Cytoplasm","other",1,0,1,1,-21.30322581
"72","Srirattana2017_SF2",NA,"TMEM41B","616372","transmembrane protein 41B",NA,6.89714836,"Down",0.00265,"Other","other",1,0,1,1,-6.89714836
"73","Srirattana2017_SF2",NA,"XIST","338325","X inactive specific transcript (non-protein coding)",NA,4.462957289,"Down",0.00265,"Nucleus","other",1,0,1,1,-4.462957289
"74","Srirattana2017_SF2",NA,"FLNB","613533","filamin B",NA,6.802193281,"Up",0.00374,"Cytoplasm","other",1,0,1,1,6.802193281
"75","Srirattana2017_SF2",NA,"LARP4","539286","La ribonucleoprotein domain family member 4",NA,4.453686473,"Down",0.00374,"Other","other",1,0,1,1,-4.453686473
"76","Srirattana2017_SF2",NA,"SSB","338071","Sjogren syndrome antigen B",NA,5.917550037,"Down",0.00452,"Nucleus","enzyme",1,0,1,1,-5.917550037
"77","Srirattana2017_SF2",NA,"CKB","516210","creatine kinase B",NA,6.816352761,"Up",0.00573,"Cytoplasm","kinase",1,0,1,1,6.816352761
"78","Srirattana2017_SF2",NA,"PPP1R12A","538606","protein phosphatase 1 regulatory subunit 12A",NA,3.980638887,"Down",0.0058,"Cytoplasm","phosphatase",1,0,1,1,-3.980638887
"79","Srirattana2017_SF2",NA,"RAP1A","282031","RAP1A, member of RAS oncogene family",NA,7.351303068,"Down",0.0058,"Cytoplasm","enzyme",1,0,1,1,-7.351303068
"80","Srirattana2017_SF2",NA,"SDCBP","510979","syndecan binding protein",NA,4.164086391,"Down",0.0058,"Plasma Membrane","enzyme",1,0,1,1,-4.164086391
"81","Srirattana2017_SF2",NA,"SGOL2","532412","shugoshin 2",NA,5.860403498,"Down",0.0058,"Nucleus","other",1,0,1,1,-5.860403498
"82","Srirattana2017_SF2",NA,"APC","533233","APC, WNT signaling pathway regulator",NA,3.818484057,"Down",0.00661,"Nucleus","enzyme",1,0,1,1,-3.818484057
"83","Srirattana2017_SF2",NA,"ARPP19","282658","cAMP regulated phosphoprotein 19",NA,4.81988926,"Down",0.00661,"Cytoplasm","transporter",1,0,1,1,-4.81988926
"84","Srirattana2017_SF2",NA,"ATP1A1","282144","ATPase Na+/K+ transporting subunit alpha 1",NA,3.310387264,"Up",0.00661,"Plasma Membrane","transporter",1,0,1,1,3.310387264
"85","Srirattana2017_SF2",NA,"BLOC1S1","615149","biogenesis of lysosomal organelles complex 1 subunit 1",NA,145.3109891,"Up",0.00661,"Cytoplasm","other",1,0,1,1,145.3109891
"86","Srirattana2017_SF2",NA,"CCDC91","530230","coiled-coil domain containing 91",NA,5.066537015,"Down",0.00661,"Other","other",1,0,1,1,-5.066537015
"87","Srirattana2017_SF2",NA,"CD2AP","533188","CD2 associated protein",NA,4.158317741,"Down",0.00661,"Cytoplasm","other",1,0,1,1,-4.158317741
"88","Srirattana2017_SF2",NA,"CHORDC1","505144","cysteine and histidine rich domain containing 1",NA,3.560302933,"Down",0.00661,"Other","other",1,0,1,1,-3.560302933
"89","Srirattana2017_SF2",NA,"EIF4E3","616906","eukaryotic translation initiation factor 4E family member 3",NA,7.402435424,"Down",0.00661,"Cytoplasm","translation regulator",1,0,1,1,-7.402435424
"90","Srirattana2017_SF2",NA,"FKBP9","534182","FK506 binding protein 9",NA,5.194554411,"Down",0.00661,"Cytoplasm","enzyme",1,0,1,1,-5.194554411
"91","Srirattana2017_SF2",NA,"HIAT1",NA,"major facilitator superfamily domain containing 14A",NA,4.910942736,"Down",0.00661,"Other","transporter",1,0,1,1,-4.910942736
"92","Srirattana2017_SF2",NA,"HRSP12",NA,"reactive intermediate imine deaminase A homolog",NA,13.25073058,"Down",0.00661,"Cytoplasm","enzyme",1,0,1,1,-13.25073058
"93","Srirattana2017_SF2",NA,"KMT2E","539121","lysine methyltransferase 2E",NA,5.194554411,"Down",0.00661,"Nucleus","enzyme",1,0,1,1,-5.194554411
"94","Srirattana2017_SF2",NA,"LOC780876","780876",NA,NA,4.597979392,"Down",0.00661,"Undetermined",NA,1,0,1,1,-4.597979392
"95","Srirattana2017_SF2",NA,"LOC782101","782101",NA,NA,5.856342784,"Down",0.00661,"Undetermined",NA,1,0,1,1,-5.856342784
"96","Srirattana2017_SF2",NA,"MAT2A","527403","methionine adenosyltransferase 2A",NA,4.198866734,"Down",0.00661,"Cytoplasm","enzyme",1,0,1,1,-4.198866734
"97","Srirattana2017_SF2",NA,"MOSPD1","523578","motile sperm domain containing 1",NA,4.701105314,"Down",0.00661,"Other","other",1,0,1,1,-4.701105314
"98","Srirattana2017_SF2",NA,"MXD1","514626","MAX dimerization protein 1",NA,9.164143184,"Down",0.00661,"Nucleus","transcription regulator",1,0,1,1,-9.164143184
"99","Srirattana2017_SF2",NA,"NEMF","541292","nuclear export mediator factor",NA,4.410676652,"Down",0.00661,"Nucleus","other",1,0,1,1,-4.410676652
"100","Srirattana2017_SF2",NA,"PDCD10","506411","programmed cell death 10",NA,4.37414183,"Down",0.00661,"Cytoplasm","other",1,0,1,1,-4.37414183
"101","Srirattana2017_SF2",NA,"PRRC2C","505359","proline rich coiled-coil 2C",NA,3.724379279,"Down",0.00661,"Other","other",1,0,1,1,-3.724379279
"102","Srirattana2017_SF2",NA,"QSER1","537018","glutamine and serine rich 1",NA,3.861068099,"Down",0.00661,"Other","other",1,0,1,1,-3.861068099
"103","Srirattana2017_SF2",NA,"RAB6A","616537","RAB6A, member RAS oncogene family",NA,4.098227292,"Down",0.00661,"Cytoplasm","enzyme",1,0,1,1,-4.098227292
"104","Srirattana2017_SF2",NA,"RAN","540457","RAN, member RAS oncogene family",NA,15.84548595,"Down",0.00661,"Nucleus","enzyme",1,0,1,1,-15.84548595
"105","Srirattana2017_SF2",NA,"REEP3","512704","receptor accessory protein 3",NA,5.374013703,"Down",0.00661,"Other","other",1,0,1,1,-5.374013703
"106","Srirattana2017_SF2",NA,"ROCK2","282041","Rho associated coiled-coil containing protein kinase 2",NA,5.105315075,"Down",0.00661,"Cytoplasm","kinase",1,0,1,1,-5.105315075
"107","Srirattana2017_SF2",NA,"RPL17","514046","ribosomal protein L17",NA,5.162249962,"Down",0.00661,"Cytoplasm","other",1,0,1,1,-5.162249962
"108","Srirattana2017_SF2",NA,"SMC4","353350","structural maintenance of chromosomes 4",NA,4.604357965,"Down",0.00661,"Nucleus","transporter",1,0,1,1,-4.604357965
"109","Srirattana2017_SF2",NA,"TAX1BP1","535589","Tax1 binding protein 1",NA,3.652793,"Down",0.00661,"Cytoplasm","other",1,0,1,1,-3.652793
"110","Srirattana2017_SF2",NA,"TPT1","326599","tumor protein, translationally-controlled 1",NA,7.939234997,"Down",0.00661,"Cytoplasm","other",1,0,1,1,-7.939234997
"111","Srirattana2017_SF2",NA,"UBE2D3","326583","ubiquitin conjugating enzyme E2 D3",NA,3.765913858,"Down",0.00661,"Cytoplasm","enzyme",1,0,1,1,-3.765913858
"112","Srirattana2017_SF2",NA,"USO1","317724","USO1 vesicle transport factor",NA,4.328898578,"Down",0.00661,"Cytoplasm","transporter",1,0,1,1,-4.328898578
"113","Srirattana2017_SF2",NA,"VPS35","521864","VPS35 retromer complex component",NA,3.879847641,"Down",0.00661,"Cytoplasm","transporter",1,0,1,1,-3.879847641
"114","Srirattana2017_SF2",NA,"PDP1","280891","pyruvate dehyrogenase phosphatase catalytic subunit 1",NA,5.348001982,"Down",0.00684,"Cytoplasm","phosphatase",1,0,1,1,-5.348001982
"115","Srirattana2017_SF2",NA,"OCIAD1","533520","OCIA domain containing 1",NA,3.688412472,"Down",0.00687,"Cytoplasm","other",1,0,1,1,-3.688412472
"116","Srirattana2017_SF2",NA,"PTGR2","506263","prostaglandin reductase 2",NA,6.588728138,"Down",0.00687,"Cytoplasm","enzyme",1,0,1,1,-6.588728138
"117","Srirattana2017_SF2",NA,"THAP5","614615","THAP domain containing 5",NA,4.829922366,"Down",0.00687,"Nucleus","other",1,0,1,1,-4.829922366
"118","Srirattana2017_SF2",NA,"CALM2","100297344","calmodulin 1",NA,3.333412829,"Down",0.00731,"Cytoplasm","other",1,0,1,1,-3.333412829
"119","Srirattana2017_SF2",NA,"MYSM1","515332","Myb like, SWIRM and MPN domains 1",NA,3.813194181,"Down",0.00731,"Nucleus","enzyme",1,0,1,1,-3.813194181
"120","Srirattana2017_SF2",NA,"DYNLT3","613349","dynein light chain Tctex-type 3",NA,7.819086131,"Down",0.00738,"Cytoplasm","other",1,0,1,1,-7.819086131
"121","Srirattana2017_SF2",NA,"ACTN4","522269","actinin alpha 4",NA,6.511545481,"Up",0.00757,"Cytoplasm","transcription regulator",1,0,1,1,6.511545481
"122","Srirattana2017_SF2",NA,"KTN1","537619","kinectin 1",NA,3.590040203,"Down",0.00757,"Plasma Membrane","transmembrane receptor",1,0,1,1,-3.590040203
"123","Srirattana2017_SF2",NA,"OSTC","768033","oligosaccharyltransferase complex non-catalytic subunit",NA,5.731846601,"Down",0.00757,"Cytoplasm","enzyme",1,0,1,1,-5.731846601
"124","Srirattana2017_SF2",NA,"RAB21","507488","RAB21, member RAS oncogene family",NA,6.177401065,"Down",0.00795,"Cytoplasm","enzyme",1,0,1,1,-6.177401065
"125","Srirattana2017_SF2",NA,"UACA","281559","uveal autoantigen with coiled-coil domains and ankyrin repeats",NA,6.386387091,"Down",0.00795,"Cytoplasm","other",1,0,1,1,-6.386387091
"126","Srirattana2017_SF2",NA,"ACTN1","524770","actinin alpha 1",NA,4.81988926,"Up",0.00843,"Cytoplasm","transcription regulator",1,0,1,1,4.81988926
"127","Srirattana2017_SF2",NA,"NAMPT","520472","nicotinamide phosphoribosyltransferase",NA,5.700150457,"Down",0.00843,"Extracellular Space","cytokine",1,0,1,1,-5.700150457
"128","Srirattana2017_SF2",NA,"RRAS2","519269","related RAS viral (r-ras) oncogene homolog 2",NA,3.326488393,"Down",0.00843,"Plasma Membrane","enzyme",1,0,1,1,-3.326488393
"129","Srirattana2017_SF2",NA,"SYNE2","540504","spectrin repeat containing nuclear envelope protein 2",NA,3.179941004,"Down",0.00843,"Nucleus","other",1,0,1,1,-3.179941004
"130","Srirattana2017_SF2",NA,"TMED2","100140040","transmembrane p24 trafficking protein 2",NA,3.988925005,"Down",0.00843,"Cytoplasm","transporter",1,0,1,1,-3.988925005
"131","Srirattana2017_SF2",NA,"TTC7A","616640","tetratricopeptide repeat domain 7A",NA,163.2568821,"Up",0.00843,"Plasma Membrane","other",1,0,1,1,163.2568821
"132","Srirattana2017_SF2",NA,"ADAM9","281600","ADAM metallopeptidase domain 9",NA,3.755486989,"Down",0.00871,"Plasma Membrane","peptidase",1,0,1,1,-3.755486989
"133","Srirattana2017_SF2",NA,"NPM1","614028","nucleophosmin",NA,5.629473501,"Down",0.00878,"Nucleus","transcription regulator",1,0,1,1,-5.629473501
"134","Srirattana2017_SF2",NA,"UPF3B","616181","UPF3 regulator of nonsense transcripts homolog B (yeast)",NA,9.031715238,"Down",0.00878,"Nucleus","transporter",1,0,1,1,-9.031715238
"135","Srirattana2017_SF2",NA,"CSNK1G3","407190","casein kinase 1 gamma 3",NA,5.108855037,"Down",0.00882,"Cytoplasm","kinase",1,0,1,1,-5.108855037
"136","Srirattana2017_SF2",NA,"SREK1","507801","splicing regulatory glutamic acid and lysine rich protein 1",NA,5.205367422,"Down",0.00886,"Nucleus","other",1,0,1,1,-5.205367422
"137","Srirattana2017_SF2",NA,"SEPT7","408000",NA,NA,3.224331326,"Down",0.0095,"Undetermined",NA,1,0,1,1,-3.224331326
"138","Srirattana2017_SF2",NA,"RSU1","617534","Ras suppressor protein 1",NA,4.707626949,"Down",0.0095,"Cytoplasm","other",1,0,1,1,-4.707626949
"139","Srirattana2017_SF2",NA,"SLAIN2","534203","SLAIN motif family member 2",NA,4.921165379,"Down",0.0095,"Cytoplasm","other",1,0,1,1,-4.921165379
"140","Srirattana2017_SF2",NA,"TPM4","535277","tropomyosin 4",NA,2.381713699,"Down",0.0095,"Cytoplasm","other",1,0,1,1,-2.381713699
"141","Srirattana2017_SF2",NA,"ARL2","511349","ADP ribosylation factor like GTPase 2",NA,88.279099,"Up",0.00951,"Cytoplasm","enzyme",1,0,1,1,88.279099
"142","Srirattana2017_SF2",NA,"DYNC1H1","537748","dynein cytoplasmic 1 heavy chain 1",NA,5.946331938,"Up",0.00951,"Cytoplasm","peptidase",1,0,1,1,5.946331938
"143","Srirattana2017_SF2",NA,"DNTTIP2","511258","deoxynucleotidyltransferase terminal interacting protein 2",NA,3.758090997,"Down",0.00985,"Nucleus","other",1,0,1,1,-3.758090997
"144","Srirattana2017_SF2",NA,"TFIP11","509349","tuftelin interacting protein 11",NA,85.15385863,"Up",0.00988,"Extracellular Space","other",1,0,1,1,85.15385863
"145","Srirattana2017_SF2",NA,"PARP1","286764","poly(ADP-ribose) polymerase 1",NA,3.673104649,"Up",0.01,"Nucleus","enzyme",1,0,1,1,3.673104649
"146","Srirattana2017_SF2",NA,"ZDHHC6","514158","zinc finger DHHC-type containing 6",NA,3.645205123,"Down",0.0101,"Nucleus","enzyme",1,0,1,1,-3.645205123
"147","Srirattana2017_SF2",NA,"PCMTD1","521261","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1",NA,6.511545481,"Down",0.0102,"Cytoplasm","enzyme",1,0,1,1,-6.511545481
"148","Srirattana2017_SF2",NA,"GOLGA4","538893","golgin A4",NA,3.983399012,"Down",0.0105,"Cytoplasm","other",1,0,1,1,-3.983399012
"149","Srirattana2017_SF2",NA,"VPS54","783762","VPS54, GARP complex subunit",NA,5.162249962,"Down",0.011,"Extracellular Space","other",1,0,1,1,-5.162249962
"150","Srirattana2017_SF2",NA,"ATP5B","327675","ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide",NA,2.703821666,"Up",0.0114,"Cytoplasm","transporter",1,0,1,1,2.703821666
"151","Srirattana2017_SF2",NA,"CCAR1","767587","cell division cycle and apoptosis regulator 1",NA,3.991690876,"Down",0.0117,"Nucleus","transcription regulator",1,0,1,1,-3.991690876
"152","Srirattana2017_SF2",NA,"DNAJB4","541274","DnaJ heat shock protein family (Hsp40) member B4",NA,19.00095466,"Down",0.0117,"Nucleus","other",1,0,1,1,-19.00095466
"153","Srirattana2017_SF2",NA,"ETAA1","282224","Ewing tumor associated antigen 1",NA,4.34693945,"Down",0.0117,"Other","other",1,0,1,1,-4.34693945
"154","Srirattana2017_SF2",NA,"FAM60A","538649","family with sequence similarity 60 member A",NA,4.604357965,"Down",0.0117,"Extracellular Space","other",1,0,1,1,-4.604357965
"155","Srirattana2017_SF2",NA,"FBXO11","508172","F-box protein 11",NA,4.19595731,"Down",0.0117,"Cytoplasm","enzyme",1,0,1,1,-4.19595731
