DataSet,n,GeneSymbol,GeneID,GeneName,Chr,FoldChange,Regulation,FDR,Location,Type,Depleted,SCNT,miNT,TSA
Srirattana2017_TS5,14,C15H11orf34,NM_001113538.1,"Chromosome 15 open reading frame, human C11orf34",15,7.815559,Up,0.029765401,,NA,1,1,0,0
Srirattana2017_TS5,14,LOC615263,NM_001103298.1,Uncharacterized LOC615263,2,3.888634,Up,0.001795205,,NA,1,1,0,0
Srirattana2017_TS5,14,REV3L,NM_001206172.1,"REV3-like, polymerase (DNA directed), zeta, catalytic subunit",9,2.522063,Up,0.001795205,,enzyme,1,1,0,0
Srirattana2017_TS5,14,CA4,NM_173897.1,Carbonic anhydrase IV,19,329.08,Down,0.003983779,,enzyme,1,1,0,0
Srirattana2017_TS5,14,ZADH2,NM_001075964.1,Zinc binding alcohol dehydrogenase domain containing 2,24,78.20581,Down,0.011132627,,enzyme,1,1,0,0
Srirattana2017_TS5,14,CLDN8,NM_001098096.1,Claudin 8,1,12.78876,Down,0.003983779,,other,1,1,0,0
Srirattana2017_TS5,14,TMEM38A,NM_001083463.1,Transmembrane protein 38A,7,7.740737,Down,0.011132627,,ion channel,1,1,0,0
Srirattana2017_TS5,14,C10H5orf13,NM_001105045.1,"Chromosome 10 open reading frame, human C5orf13",10,5.096216,Down,0.009116463,,NA,1,1,0,0
Srirattana2017_TS5,14,USP3,NM_001102123.1,Ubiquitin specific peptidase 3,10,3.985756,Down,0.003983779,,other,1,1,0,0
Srirattana2017_TS5,14,HERC3,NM_001083663.1,HECT and RLD domain containing E3 ubiquitin protein ligase 3,6,3.596033,Down,0.003983779,,enzyme,1,1,0,0
Srirattana2017_TS5,14,FKBP9,NM_001046372.2,FK506 binding protein 9,4,3.083186,Down,0.002816989,,enzyme,1,1,0,0
Srirattana2017_TS5,14,DCXR,NM_001075891.1,Dicarbonyl/L-xylulose reductase,19,2.751082,Down,0.009630171,,enzyme,1,1,0,0
Srirattana2017_TS5,14,SH3D21,NM_001162534.1,SH3 domain containing 21,3,2.420875,Down,0.002816989,,other,1,1,0,0
Srirattana2017_TS5,14,FDPS,NM_177497.2,Farnesyl diphosphate synthase,3,2.361433,Down,0.011132627,,enzyme,1,1,0,0
Srirattana2017_TS6,35,ADCY1,NM_174229.2,Adenylate cyclase type 1,4,263.7949,Up,0.0120854,,enzyme,0,1,0,1
Srirattana2017_TS6,35,ZMAT5,NM_001038210.2,"Zinc finger, matrin-type 5",17,62.57095,Up,0.0465148,,other,0,1,0,1
Srirattana2017_TS6,35,FMR1NB,NM_001102262.2,Fragile X mental retardation 1 neighbor,X,13.86671,Up,0.0131447,,other,0,1,0,1
Srirattana2017_TS6,35,MAEL,NM_001038193.2,Maelstrom spermatogenic transposon silencer,3,5.659821,Up,0.0498753,,other,0,1,0,1
Srirattana2017_TS6,35,INO80E,NM_001046544.1,INO80 complex subunit E,25,5.54002,Up,0.0107789,,other,0,1,0,1
Srirattana2017_TS6,35,CLDN10,NM_001014857.1,Claudin 10,12,5.104958,Up,0.0498753,,other,0,1,0,1
Srirattana2017_TS6,35,CHN2,NM_001045963.2,Chimerin 2,4,4.724665,Up,0.0490729,,other,0,1,0,1
Srirattana2017_TS6,35,GLDC,NM_001192951.1,Glycine dehydrogenase (decarboxylating),8,3.693757,Up,0.0310215,,enzyme,0,1,0,1
Srirattana2017_TS6,35,CITED2,NM_001075819.1,"Cbp/p300-interacting transactivator, with Glu/Asp rich carboxy-terminal domain, 2",9,2.115691,Up,0.0498753,,transcription regulator,0,1,0,1
Srirattana2017_TS6,35,REV3L,NM_001206172.1,"REV3-like, polymerase (DNA directed), zeta, catalytic subunit",9,2.074906,Up,0.0271372,,enzyme,0,1,0,1
Srirattana2017_TS6,35,SLC6A6,NM_174610.2,"Solute carrier family 6 (neurotransmitter transporter), member 6",22,934.6827,Down,0.0088673,,transporter,0,1,0,1
Srirattana2017_TS6,35,UPP1,NM_001098976.2,Uridine phosphorylase 1,4,437.8524,Down,0.0120854,,enzyme,0,1,0,1
Srirattana2017_TS6,35,DNASE1L3,NM_001205724.1  ,Deoxyribonuclease I-like 3,22,111.5236,Down,0.0055903,,enzyme,0,1,0,1
Srirattana2017_TS6,35,TKDP1,NM_205776.1,Trophoblast Kunitz domain protein 1,13,54.45196,Down,0.0373791,,NA,0,1,0,1
Srirattana2017_TS6,35,CA4,NM_173897.1,Carbonic anhydrase IV,19,39.48189,Down,0.0498753,,enzyme,0,1,0,1
Srirattana2017_TS6,35,NGFR,NM_001102478.2,Nerve growth factor receptor,19,28.33934,Down,0.006845,,transmembrane receptor,0,1,0,1
Srirattana2017_TS6,35,ENTPD1,NM_174536.2,Ectonucleoside triphosphate diphosphohydrolase 1,26,15.55199,Down,0.0055903,,enzyme,0,1,0,1
Srirattana2017_TS6,35,ENPP3,NM_001075923.2,Ectonucleotide pyrophosphatase/phosphodiesterase 3,9,12.09189,Down,0.0498753,,enzyme,0,1,0,1
Srirattana2017_TS6,35,NANOG,NM_001025344.1,Nanog homeobox,5,11.23455,Down,0.0167144,,transcription regulator,0,1,0,1
Srirattana2017_TS6,35,TPI1,NM_001013589.3,Triosephosphate isomerase 1,5,8.893612,Down,0.006845,,enzyme,0,1,0,1
Srirattana2017_TS6,35,CD74,NM_001034735.1,"CD74 molecule, major histocompatibility complex, class II invariant chain",7 ,7.281397,Down,0.034401,,transmembrane receptor,0,1,0,1
Srirattana2017_TS6,35,NID1,NM_001101155.1,Nidogen 1,28,6.338005,Down,0.0120854,,other,0,1,0,1
Srirattana2017_TS6,35,SCIN,NM_174177.2,Scinderin,4,6.096761,Down,0.034401,,other,0,1,0,1
Srirattana2017_TS6,35,RNASE1,NM_001014386.4,"Ribonuclease, RNase A family, 1",10,5.792929,Down,0.0120854,,enzyme,0,1,0,1
Srirattana2017_TS6,35,TRAM2,NM_001193150.1,Translocation associated membrane protein 2,23,4.734895,Down,0.006845,,other,0,1,0,1
Srirattana2017_TS6,35,SHISA2,NM_001101265.1,Shisa family member 2,12,4.688848,Down,0.0257855,,other,0,1,0,1
Srirattana2017_TS6,35,KRT19,NM_001015600.3,Keratin 19,19,4.496904,Down,0.047276,,other,0,1,0,1
Srirattana2017_TS6,35,MUC1,NM_174115.2,"Mucin 1, cell surface associated",3,4.393081,Down,0.0490729,,other,0,1,0,1
Srirattana2017_TS6,35,SLC10A1,NM_001046339.1,"Solute carrier family 10 (sodium/bile acid cotransporter), member 1",10,4.20741,Down,0.0168298,,transporter,0,1,0,1
Srirattana2017_TS6,35,P2RY2,NM_001166525.1,"Purinergic receptor P2Y, G-protein coupled, 2",15,3.94375,Down,0.0240448,,G-protein coupled receptor,0,1,0,1
Srirattana2017_TS6,35,ADAM19,NM_001075475.2,ADAM metallopeptidase domain 19,7,3.694375,Down,0.0002242,,peptidase,0,1,0,1
Srirattana2017_TS6,35,APOA1,NM_174242.3,Apolipoprotein A-I,15,3.25112,Down,0.0271372,,transporter,0,1,0,1
Srirattana2017_TS6,35,PTGES,NM_174443.2,Prostaglandin E synthase,11,3.077688,Down,0.0073097,,enzyme,0,1,0,1
Srirattana2017_TS6,35,EXOC6B,NM_001076416.1,Exocyst complex component 6B,11,1.996047,Down,0.0240448,,other,0,1,0,1
Srirattana2017_TS6,35,LDHB,NM_001316338.1,Lactate dehydrogenase B,5,1.990428,Down,0.0240448,,enzyme,0,1,0,1
Srirattana2017_SF2,,AMD1,280997,adenosylmethionine decarboxylase 1,,7.356400369,Down,0.00265,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,BSG,508716,basigin (Ok blood group),,6.639156685,Up,0.00265,Plasma Membrane,transporter,1,0,1,1
Srirattana2017_SF2,,CEP135,509483,centrosomal protein 135,,6.130479841,Down,0.00265,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,PAPOLA,338051,poly(A) polymerase alpha,,4.011105744,Down,0.00265,Nucleus,enzyme,1,0,1,1
Srirattana2017_SF2,,PNRC2,767836,proline rich nuclear receptor coactivator 2,,6.759891075,Down,0.00265,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,RPL23A,507168,ribosomal protein L23a,,21.30322581,Down,0.00265,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,TMEM41B,616372,transmembrane protein 41B,,6.89714836,Down,0.00265,Other,other,1,0,1,1
Srirattana2017_SF2,,XIST,338325,X inactive specific transcript (non-protein coding),,4.462957289,Down,0.00265,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,FLNB,613533,filamin B,,6.802193281,Up,0.00374,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,LARP4,539286,La ribonucleoprotein domain family member 4,,4.453686473,Down,0.00374,Other,other,1,0,1,1
Srirattana2017_SF2,,SSB,338071,Sjogren syndrome antigen B,,5.917550037,Down,0.00452,Nucleus,enzyme,1,0,1,1
Srirattana2017_SF2,,CKB,516210,creatine kinase B,,6.816352761,Up,0.00573,Cytoplasm,kinase,1,0,1,1
Srirattana2017_SF2,,PPP1R12A,538606,protein phosphatase 1 regulatory subunit 12A,,3.980638887,Down,0.0058,Cytoplasm,phosphatase,1,0,1,1
Srirattana2017_SF2,,RAP1A,282031,"RAP1A, member of RAS oncogene family",,7.351303068,Down,0.0058,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,SDCBP,510979,syndecan binding protein,,4.164086391,Down,0.0058,Plasma Membrane,enzyme,1,0,1,1
Srirattana2017_SF2,,SGOL2,532412,shugoshin 2,,5.860403498,Down,0.0058,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,APC,533233,"APC, WNT signaling pathway regulator",,3.818484057,Down,0.00661,Nucleus,enzyme,1,0,1,1
Srirattana2017_SF2,,ARPP19,282658,cAMP regulated phosphoprotein 19,,4.81988926,Down,0.00661,Cytoplasm,transporter,1,0,1,1
Srirattana2017_SF2,,ATP1A1,282144,ATPase Na+/K+ transporting subunit alpha 1,,3.310387264,Up,0.00661,Plasma Membrane,transporter,1,0,1,1
Srirattana2017_SF2,,BLOC1S1,615149,biogenesis of lysosomal organelles complex 1 subunit 1,,145.3109891,Up,0.00661,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,CCDC91,530230,coiled-coil domain containing 91,,5.066537015,Down,0.00661,Other,other,1,0,1,1
Srirattana2017_SF2,,CD2AP,533188,CD2 associated protein,,4.158317741,Down,0.00661,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,CHORDC1,505144,cysteine and histidine rich domain containing 1,,3.560302933,Down,0.00661,Other,other,1,0,1,1
Srirattana2017_SF2,,EIF4E3,616906,eukaryotic translation initiation factor 4E family member 3,,7.402435424,Down,0.00661,Cytoplasm,translation regulator,1,0,1,1
Srirattana2017_SF2,,FKBP9,534182,FK506 binding protein 9,,5.194554411,Down,0.00661,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,HIAT1,NA,major facilitator superfamily domain containing 14A,,4.910942736,Down,0.00661,Other,transporter,1,0,1,1
Srirattana2017_SF2,,HRSP12,NA,reactive intermediate imine deaminase A homolog,,13.25073058,Down,0.00661,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,KMT2E,539121,lysine methyltransferase 2E,,5.194554411,Down,0.00661,Nucleus,enzyme,1,0,1,1
Srirattana2017_SF2,,LOC780876,780876,NA,,4.597979392,Down,0.00661,NA,NA,1,0,1,1
Srirattana2017_SF2,,LOC782101,782101,NA,,5.856342784,Down,0.00661,NA,NA,1,0,1,1
Srirattana2017_SF2,,MAT2A,527403,methionine adenosyltransferase 2A,,4.198866734,Down,0.00661,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,MOSPD1,523578,motile sperm domain containing 1,,4.701105314,Down,0.00661,Other,other,1,0,1,1
Srirattana2017_SF2,,MXD1,514626,MAX dimerization protein 1,,9.164143184,Down,0.00661,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,NEMF,541292,nuclear export mediator factor,,4.410676652,Down,0.00661,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,PDCD10,506411,programmed cell death 10,,4.37414183,Down,0.00661,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,PRRC2C,505359,proline rich coiled-coil 2C,,3.724379279,Down,0.00661,Other,other,1,0,1,1
Srirattana2017_SF2,,QSER1,537018,glutamine and serine rich 1,,3.861068099,Down,0.00661,Other,other,1,0,1,1
Srirattana2017_SF2,,RAB6A,616537,"RAB6A, member RAS oncogene family",,4.098227292,Down,0.00661,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,RAN,540457,"RAN, member RAS oncogene family",,15.84548595,Down,0.00661,Nucleus,enzyme,1,0,1,1
Srirattana2017_SF2,,REEP3,512704,receptor accessory protein 3,,5.374013703,Down,0.00661,Other,other,1,0,1,1
Srirattana2017_SF2,,ROCK2,282041,Rho associated coiled-coil containing protein kinase 2,,5.105315075,Down,0.00661,Cytoplasm,kinase,1,0,1,1
Srirattana2017_SF2,,RPL17,514046,ribosomal protein L17,,5.162249962,Down,0.00661,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,SMC4,353350,structural maintenance of chromosomes 4,,4.604357965,Down,0.00661,Nucleus,transporter,1,0,1,1
Srirattana2017_SF2,,TAX1BP1,535589,Tax1 binding protein 1,,3.652793,Down,0.00661,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,TPT1,326599,"tumor protein, translationally-controlled 1",,7.939234997,Down,0.00661,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,UBE2D3,326583,ubiquitin conjugating enzyme E2 D3,,3.765913858,Down,0.00661,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,USO1,317724,USO1 vesicle transport factor,,4.328898578,Down,0.00661,Cytoplasm,transporter,1,0,1,1
Srirattana2017_SF2,,VPS35,521864,VPS35 retromer complex component,,3.879847641,Down,0.00661,Cytoplasm,transporter,1,0,1,1
Srirattana2017_SF2,,PDP1,280891,pyruvate dehyrogenase phosphatase catalytic subunit 1,,5.348001982,Down,0.00684,Cytoplasm,phosphatase,1,0,1,1
Srirattana2017_SF2,,OCIAD1,533520,OCIA domain containing 1,,3.688412472,Down,0.00687,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,PTGR2,506263,prostaglandin reductase 2,,6.588728138,Down,0.00687,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,THAP5,614615,THAP domain containing 5,,4.829922366,Down,0.00687,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,CALM2,100297344,calmodulin 1,,3.333412829,Down,0.00731,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,MYSM1,515332,"Myb like, SWIRM and MPN domains 1",,3.813194181,Down,0.00731,Nucleus,enzyme,1,0,1,1
Srirattana2017_SF2,,DYNLT3,613349,dynein light chain Tctex-type 3,,7.819086131,Down,0.00738,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,ACTN4,522269,actinin alpha 4,,6.511545481,Up,0.00757,Cytoplasm,transcription regulator,1,0,1,1
Srirattana2017_SF2,,KTN1,537619,kinectin 1,,3.590040203,Down,0.00757,Plasma Membrane,transmembrane receptor,1,0,1,1
Srirattana2017_SF2,,OSTC,768033,oligosaccharyltransferase complex non-catalytic subunit,,5.731846601,Down,0.00757,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,RAB21,507488,"RAB21, member RAS oncogene family",,6.177401065,Down,0.00795,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,UACA,281559,uveal autoantigen with coiled-coil domains and ankyrin repeats,,6.386387091,Down,0.00795,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,ACTN1,524770,actinin alpha 1,,4.81988926,Up,0.00843,Cytoplasm,transcription regulator,1,0,1,1
Srirattana2017_SF2,,NAMPT,520472,nicotinamide phosphoribosyltransferase,,5.700150457,Down,0.00843,Extracellular Space,cytokine,1,0,1,1
Srirattana2017_SF2,,RRAS2,519269,related RAS viral (r-ras) oncogene homolog 2,,3.326488393,Down,0.00843,Plasma Membrane,enzyme,1,0,1,1
Srirattana2017_SF2,,SYNE2,540504,spectrin repeat containing nuclear envelope protein 2,,3.179941004,Down,0.00843,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,TMED2,100140040,transmembrane p24 trafficking protein 2,,3.988925005,Down,0.00843,Cytoplasm,transporter,1,0,1,1
Srirattana2017_SF2,,TTC7A,616640,tetratricopeptide repeat domain 7A,,163.2568821,Up,0.00843,Plasma Membrane,other,1,0,1,1
Srirattana2017_SF2,,ADAM9,281600,ADAM metallopeptidase domain 9,,3.755486989,Down,0.00871,Plasma Membrane,peptidase,1,0,1,1
Srirattana2017_SF2,,NPM1,614028,nucleophosmin,,5.629473501,Down,0.00878,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,UPF3B,616181,UPF3 regulator of nonsense transcripts homolog B (yeast),,9.031715238,Down,0.00878,Nucleus,transporter,1,0,1,1
Srirattana2017_SF2,,CSNK1G3,407190,casein kinase 1 gamma 3,,5.108855037,Down,0.00882,Cytoplasm,kinase,1,0,1,1
Srirattana2017_SF2,,SREK1,507801,splicing regulatory glutamic acid and lysine rich protein 1,,5.205367422,Down,0.00886,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,SEPT7,408000,NA,,3.224331326,Down,0.0095,NA,NA,1,0,1,1
Srirattana2017_SF2,,RSU1,617534,Ras suppressor protein 1,,4.707626949,Down,0.0095,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,SLAIN2,534203,SLAIN motif family member 2,,4.921165379,Down,0.0095,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,TPM4,535277,tropomyosin 4,,2.381713699,Down,0.0095,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,ARL2,511349,ADP ribosylation factor like GTPase 2,,88.279099,Up,0.00951,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,DYNC1H1,537748,dynein cytoplasmic 1 heavy chain 1,,5.946331938,Up,0.00951,Cytoplasm,peptidase,1,0,1,1
Srirattana2017_SF2,,DNTTIP2,511258,deoxynucleotidyltransferase terminal interacting protein 2,,3.758090997,Down,0.00985,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,TFIP11,509349,tuftelin interacting protein 11,,85.15385863,Up,0.00988,Extracellular Space,other,1,0,1,1
Srirattana2017_SF2,,PARP1,286764,poly(ADP-ribose) polymerase 1,,3.673104649,Up,0.01,Nucleus,enzyme,1,0,1,1
Srirattana2017_SF2,,ZDHHC6,514158,zinc finger DHHC-type containing 6,,3.645205123,Down,0.0101,Nucleus,enzyme,1,0,1,1
Srirattana2017_SF2,,PCMTD1,521261,protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1,,6.511545481,Down,0.0102,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,GOLGA4,538893,golgin A4,,3.983399012,Down,0.0105,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,VPS54,783762,"VPS54, GARP complex subunit",,5.162249962,Down,0.011,Extracellular Space,other,1,0,1,1
Srirattana2017_SF2,,ATP5B,327675,"ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide",,2.703821666,Up,0.0114,Cytoplasm,transporter,1,0,1,1
Srirattana2017_SF2,,CCAR1,767587,cell division cycle and apoptosis regulator 1,,3.991690876,Down,0.0117,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,DNAJB4,541274,DnaJ heat shock protein family (Hsp40) member B4,,19.00095466,Down,0.0117,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,ETAA1,282224,Ewing tumor associated antigen 1,,4.34693945,Down,0.0117,Other,other,1,0,1,1
Srirattana2017_SF2,,FAM60A,538649,family with sequence similarity 60 member A,,4.604357965,Down,0.0117,Extracellular Space,other,1,0,1,1
Srirattana2017_SF2,,FBXO11,508172,F-box protein 11,,4.19595731,Down,0.0117,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,GALNT1,282241,polypeptide N-acetylgalactosaminyltransferase 1,,3.863745316,Down,0.0117,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,HMGA1,618849,high mobility group AT-hook 1,,4.921165379,Up,0.0117,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,IGSF3,530939,immunoglobulin superfamily member 3,,95.141311,Up,0.0117,Plasma Membrane,other,1,0,1,1
Srirattana2017_SF2,,PIAS1,509231,protein inhibitor of activated STAT 1,,3.363585661,Down,0.0117,Nucleus,transcription regulator,1,0,1,1
Srirattana2017_SF2,,RPS6,787914,ribosomal protein S6,,2.924114897,Down,0.0117,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,SND1,404098,staphylococcal nuclease and tudor domain containing 1,,3.565241984,Up,0.0117,Nucleus,enzyme,1,0,1,1
Srirattana2017_SF2,,STEAP3,504235,STEAP3 metalloreductase,,6.475537732,Up,0.0117,Cytoplasm,transporter,1,0,1,1
Srirattana2017_SF2,,ZNF644,539923,zinc finger protein 644,,5.348001982,Down,0.0117,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,CBR4,533020,carbonyl reductase 4,,3.538161741,Down,0.0118,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,DZIP3,537349,DAZ interacting zinc finger protein 3,,16.14482614,Down,0.0118,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,SEC63,541040,"SEC63 homolog, protein translocation regulator",,3.20427951,Down,0.0118,Cytoplasm,transporter,1,0,1,1
Srirattana2017_SF2,,SLC39A14,515437,solute carrier family 39 member 14,,6.507033585,Up,0.0118,Plasma Membrane,transporter,1,0,1,1
Srirattana2017_SF2,,UQCRB,616871,ubiquinol-cytochrome c reductase binding protein,,4.03900519,Down,0.0118,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,ZC3H10,507466,zinc finger CCCH-type containing 10,,82.19621178,Up,0.0118,Other,other,1,0,1,1
Srirattana2017_SF2,,ZCCHC11,528986,zinc finger CCHC-type containing 11,,3.701217712,Down,0.0118,Nucleus,enzyme,1,0,1,1
Srirattana2017_SF2,,RAD50,788127,RAD50 double strand break repair protein,,5.169411323,Down,0.0119,Nucleus,enzyme,1,0,1,1
Srirattana2017_SF2,,ZMYM1,527379,zinc finger MYM-type containing 1,,3.89061979,Down,0.0119,Other,other,1,0,1,1
Srirattana2017_SF2,,LIN7C,510125,"lin-7 homolog C, crumbs cell polarity complex component",,4.459864875,Down,0.012,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,CEP290,282707,centrosomal protein 290,,6.426351974,Down,0.0122,Cytoplasm,transcription regulator,1,0,1,1
Srirattana2017_SF2,,CRIPT,617723,CXXC repeat containing interactor of PDZ3 domain,,4.707626949,Down,0.0122,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,FAM96A,512871,family with sequence similarity 96 member A,,2.785622961,Down,0.0122,Extracellular Space,other,1,0,1,1
Srirattana2017_SF2,,FKBP1A,614795,FK506 binding protein 1A,,2.472550522,Down,0.0122,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,SMIM19,515895,small integral membrane protein 19,,4.972598676,Down,0.0122,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,ARRB2,281638,arrestin beta 2,,60.38004806,Up,0.0125,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,GPR137,505015,G protein-coupled receptor 137,,67.46185109,Up,0.0125,Other,other,1,0,1,1
Srirattana2017_SF2,,PHAX,507478,phosphorylated adaptor for RNA export,,3.494291584,Down,0.0125,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,DNAJC2,507897,DnaJ heat shock protein family (Hsp40) member C2,,3.752884786,Down,0.0126,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,GNAI3,539521,G protein subunit alpha i3,,2.764464413,Down,0.0126,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,JMJD1C,781067,jumonji domain containing 1C,,3.950403446,Down,0.0126,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,SNRNP200,510529,small nuclear ribonucleoprotein U5 subunit 200,,5.281691364,Up,0.0126,Nucleus,enzyme,1,0,1,1
Srirattana2017_SF2,,CEP83,618145,centrosomal protein 83,,4.34693945,Down,0.013,Extracellular Space,other,1,0,1,1
Srirattana2017_SF2,,DNM2,511691,dynamin 2,,15.11595266,Up,0.013,Plasma Membrane,enzyme,1,0,1,1
Srirattana2017_SF2,,SCEL,784362,sciellin,,5.370290011,Down,0.013,Cytoplasm,other,1,0,1,1
Srirattana2017_SF2,,TOP1,534799,topoisomerase (DNA) I,,3.424753138,Down,0.013,Nucleus,enzyme,1,0,1,1
Srirattana2017_SF2,,YES1,507632,"YES proto-oncogene 1, Src family tyrosine kinase",,3.240013895,Down,0.013,Cytoplasm,kinase,1,0,1,1
Srirattana2017_SF2,,MAF1,512498,"MAF1 homolog, negative regulator of RNA polymerase III",,81.62844107,Up,0.0132,Nucleus,other,1,0,1,1
Srirattana2017_SF2,,ARF4,518601,ADP ribosylation factor 4,,3.543070076,Down,0.0134,Cytoplasm,enzyme,1,0,1,1
Srirattana2017_SF2,,ANXA3,518050,annexin A3,,6.439729101,Down,0.0136,Cytoplasm,enzyme,1,0,1,1
